                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6826,                 3.2851,                 1.9222,                0.10069,                0.15087,                0.10268,                0.03482,                 2.1447,                 4.0134,                 2.5505,             0.00041356,             0.00041356,             0.00041356
                      2,                  1.688,                 2.7555,                 1.9127,                 0.1519,                0.32858,                0.18086,                0.05729,                 2.4798,                 3.7776,                 2.8706,             0.00081379,             0.00081379,             0.00081379
                      3,                 1.7199,                 2.5861,                 1.9617,                0.22117,                0.40036,                0.26123,                0.10303,                 2.2122,                 3.0431,                 2.6249,              0.0011975,              0.0011975,              0.0011975
                      4,                 1.7095,                 2.4316,                 1.9241,                0.39527,                0.40956,                0.36522,                0.13069,                 2.0633,                 2.7235,                 2.3801,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.7123,                 2.3001,                 1.9004,                0.38382,                0.35733,                0.36318,                0.15997,                 2.0382,                  2.248,                 2.3857,               0.001151,               0.001151,               0.001151
                      6,                 1.6584,                 2.1709,                  1.886,                0.52806,                0.43246,                 0.4817,                0.19714,                 1.9547,                 2.1288,                 2.3819,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.6092,                 2.0559,                 1.8382,                0.55268,                0.51422,                0.51212,                0.20481,                 1.9282,                 2.0591,                 2.2513,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.5782,                 1.9764,                 1.7943,                0.46549,                0.51178,                0.49265,                 0.2136,                 2.0047,                 2.0531,                  2.445,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.5724,                 1.9402,                 1.7743,                0.59951,                0.54548,                0.54215,                0.24921,                 1.9468,                 1.7887,                 2.2648,               0.001052,               0.001052,               0.001052
                     10,                 1.5413,                 1.8345,                 1.7532,                0.58757,                0.56361,                0.59062,                0.27203,                 1.8185,                 1.7207,                   2.15,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.5197,                  1.817,                  1.755,                0.69224,                0.55499,                0.64111,                0.30233,                 1.8461,                 1.6879,                 2.1141,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.5394,                 1.7658,                 1.7452,                0.71622,                0.53521,                0.59434,                0.27501,                 1.8793,                 1.7835,                 2.2332,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.4918,                 1.7311,                 1.7127,                0.66727,                 0.5865,                0.63788,                0.29336,                 1.8355,                 1.6212,                 2.1139,               0.000953,               0.000953,               0.000953
                     14,                  1.486,                 1.6568,                 1.6871,                0.72391,                0.60278,                0.67908,                0.33352,                 1.7106,                 1.4353,                 2.0172,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.4704,                 1.6089,                 1.6721,                0.73018,                0.54964,                0.65166,                0.31953,                 1.7837,                 1.5378,                 2.1168,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.4641,                 1.5997,                 1.6831,                0.69723,                0.59973,                0.67104,                0.33433,                 1.7684,                  1.512,                 2.1037,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.4531,                 1.5731,                 1.6635,                0.65079,                0.66795,                0.68727,                0.34257,                 1.7829,                 1.4313,                  2.067,               0.000854,               0.000854,               0.000854
                     18,                 1.4269,                 1.5277,                  1.655,                0.63511,                0.65319,                0.66164,                0.32629,                 1.7602,                   1.58,                 2.0664,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.4233,                 1.5141,                 1.6485,                0.68863,                0.62237,                0.72978,                0.35151,                 1.6917,                  1.401,                 2.0671,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.3897,                 1.4694,                 1.6255,                0.67831,                0.57902,                0.62683,                0.30615,                 1.8185,                 1.5525,                 2.2795,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.4182,                 1.4832,                 1.6401,                0.72342,                0.69066,                0.70237,                0.34694,                 1.7115,                 1.3838,                 2.0841,               0.000755,               0.000755,               0.000755
                     22,                 1.3864,                 1.4321,                 1.6144,                0.70723,                 0.6164,                0.69421,                0.32704,                 1.7579,                 1.5244,                  2.131,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.3536,                 1.3779,                 1.5881,                0.71069,                0.69596,                0.74548,                0.34725,                 1.7859,                 1.4444,                 2.0993,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.3631,                 1.3691,                 1.5916,                0.59159,                0.73719,                0.69855,                0.35258,                 1.6493,                 1.3802,                  1.975,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.3253,                 1.3283,                 1.5707,                0.70714,                0.68148,                0.72243,                0.35928,                 1.6739,                 1.3763,                 2.0189,               0.000656,               0.000656,               0.000656
                     26,                 1.3221,                 1.3276,                 1.5783,                0.72038,                0.68134,                0.74798,                0.38075,                 1.6843,                 1.2729,                 1.9954,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.3439,                 1.2941,                   1.58,                0.72211,                0.70039,                0.74749,                0.36784,                 1.7216,                 1.3215,                 2.0032,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.3187,                 1.2814,                 1.5595,                0.74062,                 0.7226,                0.75171,                0.38279,                 1.6351,                 1.2414,                 2.0043,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.3165,                 1.2728,                 1.5583,                0.74156,                0.71166,                0.72784,                0.38115,                 1.6805,                 1.2622,                 1.9822,               0.000557,               0.000557,               0.000557
                     30,                 1.2987,                 1.2501,                 1.5516,                0.76392,                0.69762,                0.73073,                0.38272,                 1.6851,                 1.2218,                 2.0401,             0.00053225,             0.00053225,             0.00053225
                     31,                  1.286,                 1.2541,                 1.5411,                  0.688,                0.65742,                0.65728,                0.35604,                 1.6851,                  1.397,                 2.0192,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.2808,                 1.2332,                 1.5338,                0.71658,                0.69631,                 0.7286,                0.37662,                 1.7205,                  1.306,                 2.0146,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.2587,                 1.1748,                 1.5249,                0.65714,                0.74076,                0.73909,                0.38553,                 1.6046,                 1.2301,                 1.9801,               0.000458,               0.000458,               0.000458
                     34,                 1.2542,                 1.1768,                 1.5167,                0.78718,                0.64284,                0.71095,                0.35973,                 1.6978,                 1.3027,                 2.0638,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.2584,                 1.2008,                  1.515,                0.73218,                0.69406,                  0.733,                0.38594,                 1.6575,                 1.1969,                 2.0038,              0.0004085,              0.0004085,              0.0004085
                     36,                  1.224,                 1.1552,                  1.492,                 0.7172,                0.77096,                0.77351,                0.40419,                 1.6548,                 1.0912,                 2.0064,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.2188,                 1.1487,                 1.4925,                0.83553,                0.65001,                0.74105,                0.38632,                 1.7063,                 1.2114,                 1.9977,               0.000359,               0.000359,               0.000359
                     38,                 1.2268,                 1.1047,                 1.4914,                0.72017,                0.72341,                0.74967,                0.39608,                 1.6349,                 1.1548,                 1.9599,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.2159,                 1.1054,                 1.4842,                 0.7663,                0.76698,                0.76127,                0.39692,                 1.6914,                 1.0898,                 1.9967,              0.0003095,              0.0003095,              0.0003095
                     40,                  1.198,                 1.0682,                  1.474,                0.78365,                0.69074,                0.75356,                0.39999,                  1.698,                  1.118,                 1.9849,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.2217,                0.93672,                 1.5671,                0.80809,                0.72103,                0.79302,                0.38431,                 1.7378,                 1.1412,                 2.1089,                0.00026,                0.00026,                0.00026
                     42,                 1.1679,                0.86267,                 1.5329,                0.78687,                0.69353,                0.75346,                0.39129,                 1.6464,                 1.1723,                 1.9961,             0.00023525,             0.00023525,             0.00023525
                     43,                  1.152,                0.83633,                 1.5266,                0.80257,                0.73334,                0.78519,                0.41202,                 1.6019,                  1.115,                 1.9698,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.1273,                0.80404,                  1.503,                0.79397,                0.73098,                 0.7594,                0.39651,                 1.6276,                 1.1774,                 1.9735,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.1018,                0.78598,                 1.4713,                0.80179,                0.71588,                0.75394,                0.40082,                  1.644,                 1.1505,                 1.9997,               0.000161,               0.000161,               0.000161
                     46,                 1.0975,                0.77322,                 1.4655,                0.79905,                0.72889,                0.76703,                0.39892,                 1.6367,                 1.1101,                 2.0041,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.0841,                0.74944,                 1.4541,                0.70005,                 0.7566,                0.75492,                0.41726,                 1.6194,                 1.1244,                 1.9716,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.0724,                0.74863,                  1.462,                0.76352,                0.74668,                0.77286,                0.41088,                 1.6195,                 1.1185,                 1.9746,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.0485,                0.73242,                 1.4342,                0.74767,                 0.7251,                 0.7491,                0.41394,                 1.6221,                 1.1305,                 1.9969,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.0455,                0.71333,                 1.4265,                0.68248,                0.73556,                0.74312,                0.40827,                 1.6257,                 1.1154,                 2.0189,              3.725e-05,              3.725e-05,              3.725e-05
